latitude,longitude,district,label
27.243915497800945,88.76886419789132,East Sikkim,0
27.223337680639926,88.62072069598003,East Sikkim,0
27.30686689693817,88.80722784499295,East Sikkim,0
27.251682942677537,88.46902270749658,East Sikkim,0
27.188593677490687,88.48316227800194,East Sikkim,0
27.24048425055892,88.62604644382387,East Sikkim,0
27.245894952767152,88.59100722784463,East Sikkim,0
27.22934220866328,88.62280873163363,East Sikkim,0
27.20035937122783,88.67142186922328,East Sikkim,0
27.388794088190686,88.70830054458088,East Sikkim,0
27.189085753125006,88.58302380607269,East Sikkim,0
27.206856746583192,88.51274860994786,East Sikkim,0
27.27335164107459,88.44707403017713,East Sikkim,0
27.204145196918184,88.57057711635322,East Sikkim,0
27.216466805677232,88.5904396289686,East Sikkim,0
27.35521742166362,88.63618619578972,East Sikkim,0
27.21761136202095,88.73594218519004,East Sikkim,0
27.293231676749773,88.56588772239652,East Sikkim,0
27.37739757725569,88.78459224837623,East Sikkim,0
27.31177568637436,88.59931064221152,East Sikkim,0
27.290229155938903,88.55523432118062,East Sikkim,0
27.177461374483684,88.51467573711851,East Sikkim,0
27.215086065711457,88.73806458404435,East Sikkim,0
27.23695228411838,88.77174224974273,East Sikkim,0
27.248632010610983,88.62992874570124,East Sikkim,0
27.353278579130674,88.67996445024141,East Sikkim,0
27.359084966543517,88.49058847150137,East Sikkim,0
27.19164098015746,88.47721159308526,East Sikkim,0
27.20613802482664,88.70685331105271,East Sikkim,0
27.378974376410152,88.67365456710571,East Sikkim,0
27.18134314120275,88.67317673017266,East Sikkim,0
27.264038436810058,88.44122222690257,East Sikkim,0
27.201462121817922,88.61945096926374,East Sikkim,0
27.340327159299274,88.52336604510728,East Sikkim,0
27.381166885646945,88.60960728309664,East Sikkim,0
27.38564626986494,88.80621205898225,East Sikkim,0
27.203169511506154,88.55096102589997,East Sikkim,0
27.202040269090034,88.55633092474838,East Sikkim,0
27.390014057844322,88.77557624125757,East Sikkim,0
27.282321219905516,88.60723457003314,East Sikkim,0
27.259234679838283,88.46729954001691,East Sikkim,0
27.293007736987356,88.62494392564935,East Sikkim,0
27.204486672974756,88.55985760060163,East Sikkim,0
27.225615161835655,88.47919318080262,East Sikkim,0
27.306088663318416,88.8528173912655,East Sikkim,0
27.28723454791866,88.54527919042465,East Sikkim,0
27.369745078976912,88.74565398200849,East Sikkim,0
27.348451609281796,88.62716794565945,East Sikkim,0
27.268500329154616,88.5478320525158,East Sikkim,0
27.39901670381567,88.82816692574649,East Sikkim,0
27.229844584693975,88.62826993540878,East Sikkim,0
