latitude,longitude,district,label,elevation,slope,aspect,curvature,distance_to_drainage
27.08275,88.434778,South Sikkim,1,329.6823425292969,27.864383697509766,128.2912139892578,-1.0913193225860596,170.02041587784976
27.084222,88.446083,South Sikkim,1,277.4830322265625,37.61212158203125,177.53158569335938,-1.258084774017334,116.63304307356871
27.084722,88.443833,South Sikkim,1,284.3030090332031,21.868831634521484,153.8515625,-1.4303420782089233,0.0
27.087667,88.416528,South Sikkim,1,262.4183349609375,35.98299026489258,205.31472778320312,-0.7698633074760437,82.47201566774314
27.090083,88.413139,South Sikkim,1,292.1522216796875,28.953290939331055,185.54135131835938,-2.1050922870635986,0.0
27.090944,88.406833,South Sikkim,1,304.0851745605469,24.47087287902832,169.12464904785156,0.01758108288049698,145.79130384196088
27.093278,88.457444,South Sikkim,1,307.5528259277344,33.31928253173828,120.58714294433594,-1.537027359008789,174.94956461035306
27.096444,88.433375,South Sikkim,1,891.6354370117188,30.2232723236084,151.0956268310547,0.31638771295547485,720.1559166825685
27.097833,88.3785,South Sikkim,1,278.81304931640625,26.804054260253906,168.99835205078125,-3.4053242206573486,170.02041587784976
27.098417,88.400167,South Sikkim,1,680.3797607421875,21.849937438964844,223.94638061523438,0.30404001474380493,519.1480735001394
27.101083,88.3615,South Sikkim,1,392.2332763671875,45.70571517944336,290.46380615234375,2.217355728149414,130.39970636758034
27.101083,88.400417,South Sikkim,1,777.473876953125,23.763038635253906,228.5001983642578,-0.43996497988700867,711.8438634548904
27.101111,88.403333,South Sikkim,1,814.518310546875,31.12976837158203,182.131591796875,-1.1311907768249512,623.3324202736162
27.101194,88.394611,South Sikkim,1,614.0927124023438,33.98731994628906,277.2759094238281,-0.11698706448078156,480.8903560295381
27.102,88.458667,South Sikkim,1,429.162109375,31.51357078552246,120.91427612304688,-1.9734172821044922,455.46659343267345
27.1025,88.400778,South Sikkim,1,848.2198486328125,28.09481430053711,202.76516723632812,-0.3216426372528076,847.5980913892722
27.102639,88.394639,South Sikkim,1,626.57421875,28.8514461517334,232.5475616455078,-0.7950181365013123,441.2445525642225
27.102944,88.404667,South Sikkim,1,926.3048095703125,27.023792266845703,176.3937225341797,0.5863423943519592,816.431301514981
27.103111,88.402722,South Sikkim,1,914.9527587890625,33.21047592163086,204.92259216308594,-0.27386000752449036,834.9655203963802
27.105972,88.444556,South Sikkim,1,800.7191162109375,32.33930587768555,208.1937713623047,0.0725928544998169,371.12407050484404
27.106694,88.449389,South Sikkim,1,796.3739624023438,33.15485382080078,180.08236694335938,-0.04957735911011696,639.4905834092208
27.106944,88.43375,South Sikkim,1,862.6183471679688,37.11265182495117,169.7207794189453,0.31618669629096985,58.31652153678436
27.107417,88.363139,South Sikkim,1,507.89697265625,30.9478816986084,298.03179931640625,0.05331037938594818,287.1755640555846
27.110583,88.340472,West Sikkim,1,323.3664855957031,47.42115783691406,187.3256072998047,0.10043255984783173,82.47201566774314
27.1205,88.152722,West Sikkim,1,1232.5341796875,27.234594345092773,245.3142547607422,0.30587780475616455,738.2281988891206
27.121444,88.153417,West Sikkim,1,1286.0810546875,29.97336769104004,216.30618286132812,-0.03790449723601341,813.3012019339578
27.1215,88.142222,West Sikkim,1,1248.2686767578125,38.46382141113281,167.1684112548828,-0.06986488401889801,380.1772074656567
27.121611,88.237,West Sikkim,1,467.5709533691406,41.17407989501953,162.78005981445312,-0.3455052375793457,210.26320860757602
27.121611,88.145528,West Sikkim,1,1133.0850830078125,36.79145431518555,205.33807373046875,-0.616005539894104,235.08141380687945
27.121917,88.139472,West Sikkim,1,1254.0062255859375,39.13005447387695,253.03387451171875,-0.736065149307251,405.07950455465993
27.122,88.139889,West Sikkim,1,1279.7237548828125,39.80435562133789,252.3325653076172,0.6892014145851135,430.5165609894557
27.122472,88.227611,West Sikkim,1,461.732177734375,26.254844665527344,186.1527862548828,0.7638474106788635,29.15826076839218
27.122611,88.343389,South Sikkim,1,902.6658935546875,36.305328369140625,193.8840789794922,0.4486801326274872,701.0121331758165
27.123833,88.225333,West Sikkim,1,479.13037109375,37.084716796875,225.45437622070312,0.5554732084274292,105.13160430378801
27.123889,88.319778,West Sikkim,1,409.65667724609375,39.1419677734375,328.8717041015625,0.05114953592419624,92.20651663725067
27.124556,88.139778,West Sikkim,1,1388.8900146484375,36.87858200073242,215.81175231933594,1.3012728691101074,396.5952239273039
27.124778,88.445083,South Sikkim,1,634.5696411132812,36.58147048950195,10.439967155456543,-0.27719101309776306,174.94956461035306
27.125528,88.384556,South Sikkim,1,1339.3319091796875,16.53167724609375,132.59324645996094,0.8671515583992004,651.9985318379016
27.125861,88.14275,West Sikkim,1,1524.3992919921875,28.60138511657715,263.1631164550781,0.3905886113643646,671.2735736269572
27.126306,88.378667,South Sikkim,1,1116.0728759765625,40.65609359741211,222.9283447265625,-0.6035717129707336,578.7749505540111
27.126444,88.340444,South Sikkim,1,1046.5281982421875,28.50652503967285,260.7803039550781,-0.4894561767578125,877.1743126591148
27.126472,88.31675,West Sikkim,1,360.02691650390625,36.475772857666016,205.4334716796875,-1.1300780773162842,227.73329671633672
27.127194,88.308306,West Sikkim,1,341.22882080078125,42.703338623046875,234.5505828857422,0.8201011419296265,82.47201566774314
27.12825,88.292194,West Sikkim,1,369.5931396484375,38.76911163330078,191.25460815429688,-1.6536985635757446,130.39970636758034
27.128333,88.148833,West Sikkim,1,1548.4952392578125,39.53002166748047,50.03032684326172,-0.9382511973381042,693.0839463125809
27.128694,88.442778,South Sikkim,1,659.2944946289062,31.65595817565918,201.2647705078125,-0.10337590426206589,87.47478230517653
27.128694,88.141639,West Sikkim,1,1555.7525634765625,28.341930389404297,228.25364685058594,-0.7458571195602417,628.088158908785
